FECHA;HORA;ACTIVIDAD;TIPO
22/8/2026;06:00;sueño;productivo
22/8/2026;06:30;Levantarse;productivo
22/8/2026;07:00;Desayunar;productivo
22/8/2026;07:20;ordenar cama;productivo
22/8/2026;08:20;ayudar a mamá;productivo
22/8/2026;10:00;cocinar;productivo
22/8/2026;13:30;almuerzo;productivo
22/8/2026;14:00;cuidar a mi perrita;no productivo
22/8/2026;16:30;limpieza de casa;productivo
22/8/2026;18:00;ordenar la ropa;productivo
22/8/2026;18:30;tomar tecito;productivo
22/8/2026;19:00;cuidar a mi perrita;productivo
22/8/2026;20:30;repasar mis estudios;productivo
22/8/2026;22:00;dormir;productivo
23/8/2026;06:00;sueño;productivo
23/8/2026;06:30;Levantarse;productivo
23/8/2026;07:00;Desayunar;productivo
23/8/2026;07:15;caminar a la iglesia;no productivo
23/8/2026;07:45;iglesia;productivo
23/8/2026;13:30;almuerzo;productivo
23/8/2026;14:00;cuidar a mi perrita;productivo
23/8/2026;16:30;visita a un amigo;no productivo
23/8/2026;18:00;cuidar a mi perrita;productivo
23/8/2026;18:30;tomar tecito;productivo
23/8/2026;19:00;cuidar a mi perrita;productivo
23/8/2026;20:30;repasar mis estudios;productivo
23/8/2026;22:00;dormir;productivo
24/8/2026;06:00;sueño;productivo
24/8/2026;06:30;Levantarse;productivo
24/8/2026;07:00;Desayunar;productivo
24/8/2026;07:20;caminar a la U;productivo
24/8/2026;08:30;clases;productivo
24/8/2026;11:45;clases concluidas;no productivo
24/8/2026;13:30;llegar a casa;no productivo
24/8/2026;14:00;almuerzo;productivo
24/8/2026;16:30;cuidar a mi perrita;productivo
24/8/2026;18:00;limpieza de casa;productivo
24/8/2026;19:00;tomar tecito;productivo
24/8/2026;20:30;repasar mis estudios;productivo
24/8/2026;22:00;alistarme para dormir;productivo
25/8/2026;06:00;sueño;productivo
25/8/2026;06:30;Levantarse;productivo
25/8/2026;07:00;Desayunar;productivo
25/8/2026;07:20;caminar a la U;productivo
25/8/2026;08:30;clases;productivo
25/8/2026;11:45;clases concluidas;no productivo
25/8/2026;13:30;llegar a casa;no productivo
25/8/2026;14:00;almuerzo;productivo
25/8/2026;16:30;cuidar a mi perrita;productivo
25/8/2026;18:00;limpieza de casa;productivo
25/8/2026;19:00;tomar tecito;productivo
25/8/2026;20:30;repasar mis estudios;productivo
25/8/2026;22:00;dormir;productivo
26/8/2026;06:00;sueño;productivo
26/8/2026;06:30;Levantarse;productivo
26/8/2026;07:00;Desayunar;productivo
26/8/2026;07:20;caminar a la U;productivo
26/8/2026;08:30;clases;productivo
26/8/2026;11:45;clases concluidas;no productivo
26/8/2026;13:30;llegar a casa;no productivo
26/8/2026;14:00;almuerzo;productivo
26/8/2026;16:30;cuidar a mi perrita;productivo
26/8/2026;18:00;limpieza de casa;productivo
26/8/2026;19:00;tomar tecito;productivo
26/8/2026;20:30;repasar mis estudios;productivo
26/8/2026;22:00;dormir;productivo
27/8/2026;06:00;sueño;productivo
27/8/2026;06:30;Levantarse;productivo
27/8/2026;07:00;Desayunar;productivo
27/8/2026;07:20;caminar a la U;productivo
27/8/2026;08:30;clases;productivo
27/8/2026;11:45;clases concluidas;no productivo
27/8/2026;13:30;llegar a casa;no productivo
27/8/2026;14:00;almuerzo;productivo
27/8/2026;16:30;cuidar a mi perrita;productivo
27/8/2026;18:00;limpieza de casa;productivo
27/8/2026;19:00;tomar tecito;productivo
27/8/2026;20:30;repasar mis estudios;productivo
27/8/2026;22:00;dormir;productivo
28/8/2026;06:00;sueño;productivo
28/8/2026;06:30;Levantarse;productivo
28/8/2026;07:00;Desayunar;productivo
28/8/2026;07:20;caminar a la U;productivo
28/8/2026;08:30;clases;productivo
28/8/2026;11:45;clases concluidas;no productivo
28/8/2026;13:30;llegar a casa;no productivo
28/8/2026;14:00;almuerzo;productivo
28/8/2026;16:30;cuidar a mi perrita;productivo
28/8/2026;18:00;limpieza de casa;productivo
28/8/2026;19:00;tomar tecito;productivo
28/8/2026;20:30;repasar mis estudios;productivo
28/8/2026;22:00;dormir;productivo
29/8/2026;06:00;sueño;productivo
29/8/2026;06:30;Levantarse;productivo
29/8/2026;07:00;Desayunar;productivo
29/8/2026;07:20;ordenar cama;productivo
29/8/2026;08:20;ayudar a mamá;productivo
29/8/2026;10:00;cocinar;productivo
29/8/2026;13:30;almuerzo;productivo
29/8/2026;14:00;cuidar a mi perrita;no productivo
29/8/2026;16:30;limpieza de casa;productivo
29/8/2026;18:00;ordenar la ropa;productivo
29/8/2026;18:30;tomar tecito;productivo
29/8/2026;19:00;cuidar a mi perrita;productivo
29/8/2026;20:30;repasar mis estudios;productivo
29/8/2026;22:00;dormir;productivo
30/8/2026;06:00;sueño;productivo
30/8/2026;06:30;Levantarse;productivo
30/8/2026;07:00;Desayunar;productivo
30/8/2026;07:15;caminar a la iglesia;no productivo
30/8/2026;07:45;iglesia;productivo
30/8/2026;13:30;almuerzo;productivo
30/8/2026;14:00;cuidar a mi perrita;productivo
30/8/2026;16:30;visita a un amigo;no productivo
30/8/2026;18:00;cuidar a mi perrita;productivo
30/8/2026;18:30;tomar tecito;productivo
30/8/2026;19:00;cuidar a mi perrita;productivo
30/8/2026;20:30;repasar mis estudios;productivo
30/8/2026;22:00;dormir;productivo
